rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
5.0,Solid,Solid product. Very happy,[],B000B8PPCE,B000B8PPCE,AE34JSTEQJYLZ66P4NQ3XAEVB2LA,1562694920921,0,True
5.0,Great Wraps,Actually very nice straps and good support for heavier bar and dumbbell work,[],B00PD09CJM,B00PD09ASU,AEXG43NY7LTNISGKZJQECC2K23ZA,1627580309240,0,True
5.0,Perfect,It’s exactly how it’s pictured and has great grip!!,[],B08G1NTVZW,B08G1NTVZW,AG3ZF2Z3DULTQ2BLEJEN6STGMM5A,1628194390860,0,True
5.0,Five Stars,Great product.,[],B00E63LQD2,B00E63LQD2,AG3ERGZIIQGMDKIQCLUPXSFX2WGA,1405963520000,0,True
5.0,Great Value,Worked great on my last fishing trip.,[],B07T9CL1SQ,B07T9CL1SQ,AHIM7LWT5GC44KE57B564BGS6RJQ,1600459672911,0,True
5.0,"High quality, no peeling!","Put the decal on the hood of my old truck, it stuck without fading or peeling in 2 years. I got a new truck and it was still good. Getting a new one for new truck. Very high quality! Very satisfied",[],B01BP63W7U,B01BPBFH00,AGM5FK6QGM5FJPOMJO7VW4VZBSZA,1561989615040,0,True
3.0,Terrific for some but not for everyone,"Giro quality but not a Giro fit. Sizing for the Giro Dime is awkward. Circumference works for my 1st grader (48 in, 52 lbs) but the head cavity is shallower than his Giro Flume. As a result, the Dime exposes too much of his forehead to be considered a proper fit. Too bad too because the Dime is very well constructed and more attractive than similar style helmets from other manufacturers. Overall, I think it's a 4/5 star helmet if it manages to fit you, and a 1/2 star helmet if it doesn't. Not as universal a fit as the other Giro helmets I have purchase, hence the 3 star rating.<br /><br />Additional: I ordered one in matte blue and found the hue to be deceptive. While the blue photographs like a very blue sky, it appears to my naked eye more like a teal blue. I snapped some images on my ipad and in each of the photos the hue looks identical to the website image. However, there is an astounding difference between the digital image and what the naked eye can see.",[],B00N16Q8EW,B077WF36CM,AFA2Y4QYFFUVZUKHNBDXQBXAMMNA,1489121288000,1,True
5.0,I would definitely purchase again!,"Beautiful stickers!  Great size and coloring, I would definitely buy those stickers again!",[],B07W5JSDPX,B07W5JSDPX,AE2PJQHUO4674AGU3TJREIT6SR7A,1609467285371,0,True
5.0,Easy Access to plugs and Jigs,I used it on a recent fishing trip and it worked really well.  It fits well in the boat. I plan on using it long term.,[],B07M9ZY7BV,B07ZL47NQG,AHW2FDJEFZEEEPXIIVGHQG3D3ZCA,1619668225722,0,True
5.0,Works great! Compact,"Works great!<br />Compact, simple, looks good and has stood up to all kinds of abuse while on my dog's harness. He has two other no-name packs on the other side and they are constantly bouncing around and have required constant tinkering to have them stay put. The Orca Molle pouch has no budged since I attached to his harness, despite him crashing through bushes and thick underbrush.<br />I will be in the market for another one of these in the near future to even out my dog's pack load.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71SbjFFws2L._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71SbjFFws2L._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71SbjFFws2L._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81kMGQ9+a+L._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81kMGQ9+a+L._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81kMGQ9+a+L.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81ppB6+j8hL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81ppB6+j8hL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81ppB6+j8hL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B01MTLMBAA,B01MXJAA6D,AEVY6D2OIJWXXORY5YX3QNJV6SCQ,1500941036659,5,True
